Date - MST,Hourly Profile1,Season1,Date (MST),AIL,Gas Price,Price,Spark Spread
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 10:00,9005,2.15,33.39,17.265
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 16:00,9009,2.15,33.01,16.885
1/1/2020 0:00,ON PEAK,SUMMER,9/26/2020 15:00,9013,2.15,29.93,13.805
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 20:00,9060,2.15,33.11,16.985
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 6:00,9094,2.15,92.64,76.515
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 20:00,9105,2.15,897.26,881.135
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 8:00,9120,2.15,37.14,21.015
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 19:00,9125,2.15,877.09,860.965
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 6:00,9131,2.15,33.85,17.725
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 20:00,9133,2.15,29.9,13.775
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 9:00,9163,2.15,36.66,20.535
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 18:00,9170,2.15,30.79,14.665
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 18:00,9178,2.15,34.58,18.455
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 20:00,9192,2.15,28.86,12.735
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 19:00,9217,2.15,35.63,19.505
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 17:00,9222,2.15,37.31,21.185
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 18:00,9246,2.15,612.23,596.105
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 7:00,9251,2.15,33.84,17.715
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 19:00,9251,2.15,34.51,18.385
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 9:00,9258,2.15,37.52,21.395
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 18:00,9331,2.15,36.58,20.455
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 19:00,9335,2.15,30.32,14.195
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 17:00,9350,2.15,154.47,138.345
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 10:00,9360,2.15,36.64,20.515
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 17:00,9367,2.15,37.13,21.005
1/1/2020 0:00,ON PEAK,SUMMER,9/11/2020 10:00,9367,2.15,38.6,22.475
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 8:00,9378,2.15,33.84,17.715
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 11:00,9389,2.15,36.73,20.605
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 7:00,9392,2.15,60.41,44.285
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 16:00,9399,2.15,37.43,21.305
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 12:00,9403,2.15,36.58,20.455
1/1/2020 0:00,ON PEAK,SUMMER,9/10/2020 17:00,9446,2.15,37.35,21.225
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 9:00,9458,2.15,34.73,18.605
1/1/2020 0:00,ON PEAK,SUMMER,5/10/2023 13:00,9465,2.15,583.55,567.425
1/1/2020 0:00,ON PEAK,SUMMER,9/18/2020 15:00,9469,2.15,36.39,20.265
